"page","top","left","src","ocr","matched"
"9","908","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-9_1.jpg","TABAKOVIC 20-6-1994 1 L96m I kg BORUSSIA MONCHENGLADBACHIGER)",""
"9","908","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-9_14.jpg","IBRAHIM SANGARÉ NOTTINGHAM FOREST FC (ENG)",""
"9","908","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-9_15.jpg","FIFA",""
"9","909","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-9_16.jpg","EXTRA STICKER LIONEL MESSI","ARG 9"
"10","58","28","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-10_1.jpg","FIFA FIFA RODRVGO 09-01-2001 1,74m 64kg REAL MADRID CF (ESP) FA WORLD cup 2026 BRASIL JOÃO PEDRO 26-09-2001 l,E2m 1 72kg CHELSEA ea",""
"10","334","236","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-10_4.jpg","MALIK TILLMAN 28-5-2002 1 1,87 m 1 86 kg BAYER 04 LEVERKUSEN (GER)","USA 8"
"10","334","445","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-10_3.jpg","FIFA usa HAJI WRIGHT 27-3-1998 1 1,93111 1 90 kg COVENTRY CITY FC (ENG)",""
"10","334","653","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-10_6.jpg","",""
"10","610","28","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-10_2.jpg","PERVIS ESTUPIÑÁN 21-1-1998 1 1,75m 1 69 kg AC (ITA) WILLIAN PACHO 16-10-2001 1 1,88rn 1 81kg PARIS SAINT-GERMAIN FC(FRA) PIERO HINCAPIÉ 9-1-2002 1 1 mg ARSENAL FC ANGELO PRECIADO 18-2-1998 1 1.78m 1 75kg ACSPARTAPRAHA(CZE)","ECU 2"
"10","887","236","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-10_8.jpg","EXTRA STICKER LUKA MODRIC","CRO 6"
"10","887","445","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-10_7.jpg","FIFA WORL 2026 NME U A",""
"10","887","862","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-10_5.jpg","",""
"11","0","0","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-11-0-0.jpg","ALISSON BECKER 2-10-1992 1,93m 1 91kg LIVERPOOL FC(ENG)","BRA 1"
"11","0","1","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-11-0-1.jpg","BENTO 10-6-1999 | 1,90m 87kg NASSR FC (KSA)",""
"11","0","2","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-11-0-2.jpg","MARQUINHOS 14-5-1994 | l,B3m 75kg PARIS SANT -GERMAIN (FRA)","BRA 2"
"11","0","3","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-11-0-3.jpg","BRASIL WESLEY 6-9-2003 | 1,73m 1 70kg AS ROMA (ITA)",""
"11","1","0","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-11-1-0.jpg","BRASIL ÉDER MILITÃO 18-01-1998 l.asm REAL MADRID CF (ESP)",""
"11","1","1","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-11-1-1.jpg","BRASIL GABRIEL MAGALHÃES 19-12-1997 | 1.90m 1 87kg ARSENAL FC (ENG)",""
"11","1","2","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-11-1-2.jpg","DANILO 15-7-1991 | 1.84m 1 78kg CLUBEOE REGATAS DO FLAMENGO (BRA)",""
"11","1","3","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-11-1-3.jpg","BRUNO GUIMARÃES 16-II-199711.82m 1 74kg NEWCASTLE UNITED FC (ENG)",""
"11","2","0","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-11-2-0.jpg","LUCAS PAQUETÁ 27-8-1997 | 1,80m 72kg",""
"11","2","1","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-11-2-1.jpg","BRASIL CASEMIRO 23-2-1992 | 1,85m I B4kg MANCHESTER UNITED FC (ENG)","BRA 5"
"11","2","2","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-11-2-2.jpg","LUIZ HENRIQUE 2-I-200111,B2m 77kg FC ZENIT SAINT PETERSBURG (RUS)",""
"11","2","3","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-11-2-3.jpg","VINÍCIUS JÚNIOR 12-7-2000 | 1,76m 1 73kg",""
"11","3","0","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-11-3-0.jpg","BRASIL GABRIEL MARTINELLI 18-06-2001 | 1,7Em 1 75kg ARSENAL (ENG)",""
"11","3","1","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-11-3-1.jpg","BRASIL RAPHINHA 14-12-1996 | 1,76m 1 74kg","BRA 10"
"11","3","2","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-11-3-2.jpg","BRASIL ESTÊVÃO 24-04-2007 | 1,76m 1 71kg CHELSEA (ENG) PANINI",""
"11","3","3","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-11-3-3.jpg","acu MATHEUS CUNHA 27-05-1999 | 1,83m 76kg MANCHESTER UNITED FC (ENG)","BRA 9"
"12","78","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-12_12.jpg","BEBÉ 12-7-1990 1 1 771«g UD IBIZA (ESA",""
"12","78","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-12_10.jpg","WILLY SEMEDO 27-4-1994 1 1 70 kg OMONOIA FC",""
"12","78","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-12_7.jpg","FIFA STEVEN MOREIRA 13-8-1994 1 1 75kg COLUMBUS CREW (USA)","CPV 4"
"12","78","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-12_15.jpg","DINEV 17-1-1995 1 1 82 kg AL BATAEH CLUB (UAE)",""
"12","355","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-12_9.jpg","FIFA WAGNER PINA 3-11-2002 | 1,80m 1 73kg TRABZONSPOR (TUR)",""
"12","355","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-12_8.jpg","FIFA F-cF tempo VOZINHA 3-6-1986 1 1,89rn 1 80 kg GD CHAVES (POR)","CPV 1"
"12","355","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-12_6.jpg","RYAN MENDES 8-1-1990 1 1,78 m 1 70 kg IGDIR FK (TUR)","CPV 9"
"12","355","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-12_5.jpg","PICO 17-6-1992 | 1.86m 1 88kg","CPV 3"
"12","632","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-12_16.jpg","DAILON LIVRAMENTO 4-5-2001 1 1 75kg CASA PIAAC(POR)","CPV 11"
"12","632","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-12_14.jpg","n DEROV DUARTE 4-7-1999 | 1,77111 | 68 kg PFC LUDOGORETS RAZGRAD (BUL)",""
"12","632","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-12_4.jpg","FIFA PATRICK ANDRADE 9-2-1993 1 1,73m 1 70kg ARAZ-NAXÇIVAN PFK (AZE)",""
"12","632","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-12_13.jpg","DAILON LIVRAMENTO 4-5-2001 1 1,85111 1 75kg CASA PIA AC (POR)","CPV 11"
"12","908","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-12_11.jpg","VANNiCK SEMEDO 29-12-1995 | unm 1 69 kg SC FARENSE(POR)","CPV 8"
"12","908","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-12_3.jpg","FIFA LOGAN COSTA 1-4-2001 1 1 91 kg VILLARREAL CF (ESP)","CPV 2"
"12","908","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-12_2.jpg","FIFA JOVANE CABRAL 14-6-1998 1 1,74m 1 70kg CF ESTRELA DA AMADORA (POR)","CPV 10"
"12","908","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-12_1.jpg","FIFA JOÃO PAULO 26-5-1998 1 1,88 m 1 77kg Asc",""
"13","78","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-13_15.jpg","FIFA WORLD CUP 2026, CANADA",""
"13","78","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-13_10.jpg","FIFA CANADA ALPHONSO DAVIES 2-11-20001 IP3m 1 75 kg BAYERN MÜNCHEN (GER)","CAN 2"
"13","78","447","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-13_11.jpg","FIFA 0 CRISTOPH BAUMGARTNER 1-8-1999 | 1 77 kg",""
"13","78","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-13_12.jpg","FIFA c A NADA CYLE LARIN 17-4-1995 1,88m 1 90kg","CAN 10"
"13","355","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-13_13.jpg","FIFA DAYNE ST. CLAIR 9-5-1997 1 1,91 m 1 75kg INTER MIAMI CF (USA)","HOST CITY MIAMI"
"13","355","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-13_14.jpg","CANADA DEREK CORNELIUS 25-11-1997 1 1 86kg RANGERS FC","CAN 4"
"13","355","447","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-13_16.jpg","FIFA CANADA ISMAÉL KONÉ 16-6-2002 1 1,88rn 1 76kg",""
"13","355","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-13_8.jpg","CA NADA STEPHEN EUSTAQUIO 21-12-1996 1 1,75111 1 70 kg FC PORTO (POR)","CAN 5"
"13","632","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-13_9.jpg","FIFA TAJON BUCHANAN 8-2-1999 1183m n kg VILLARREAL CF IESP)","CAN 9"
"13","632","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-13_7.jpg","CANADA SAMUEL ADEKUGBE 16-1-1995 1 1 75kg VANCOUVER WHITECAPSFC(CAN)","HOST CITY VANCOUVER"
"13","632","447","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-13_5.jpg","FIFA CANADA MATHIEU CHOINIÉRE P2-1999 1 1,73m 1 68kg LOS ANGELES FC (USA)","HOST CITY LOS ANGELES"
"13","632","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-13_3.jpg","CANADA KAMAL MILLER 16-5-1997 1 L83m 1 75kg PORTLAND TIMBERS (USA)",""
"13","908","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-13_4.jpg","CANA DA LIAM MILLAR 27-9-1999 1 1,76m 1 72kg HULL CITV (ENGI",""
"13","908","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-13_2.jpg","JONATHAN OSORIO 12-6-1992 1 L75r-n 1 69 kg TORONTO FC (CAN)","HOST CITY TORONTO"
"13","908","447","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-13_1.jpg","CANADA JONATHAN DAVID 14-1-2000 1 1,78m 81kg JUVENTUS (ITA)","CAN 11"
"13","908","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-13_6.jpg","FIFA CANADA MOISE BOMBITO 30-3-2000 1 1 83kg OGC NICE IFRA)",""
"14","78","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-14_1.jpg","FIFA",""
"14","78","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-14_9.jpg","FIFA",""
"14","78","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-14_2.jpg","FIFA",""
"14","78","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-14_7.jpg","FIFA",""
"14","355","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-14_8.jpg","FIFA",""
"14","355","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-14_3.jpg","FIFA",""
"14","355","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-14_5.jpg","FIFA",""
"14","355","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-14_6.jpg","FIFA marathon",""
"14","631","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-14_14.jpg","FIFA",""
"14","631","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-14_4.jpg","FIFA",""
"14","631","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-14_12.jpg","FIFA",""
"14","631","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-14_13.jpg","FIFA 22",""
"14","908","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-14_11.jpg","FIFA",""
"14","908","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-14_10.jpg","FIFA",""
"14","908","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-14_16.jpg","",""
"14","908","863","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-14_15.jpg","",""
"15","0","0","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-15-0-0.jpg","FIFA WORLD CUP 2026 COLOMB14&",""
"15","0","1","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-15-0-1.jpg","",""
"15","0","2","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-15-0-2.jpg","FIFA DAVID OSPINA 31-8-1988 1 183 m 1 80kg ATLÉTICO NACIONAL (COL)",""
"15","0","3","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-15-0-3.jpg","FIFA CAMILO VARGAS 9-3-1989 1 1 8ekg ATLAS FC (MEX)","COL 1"
"15","1","0","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-15-1-0.jpg","FIFA LUIS DÍAZ 13-1-1997 | 1,80m 1 70kg PANIRI","COL 9"
"15","1","1","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-15-1-1.jpg","JHON CORDOBA 11-5-1993 1 1 85 kg FC KRASNODAR (RUS)",""
"15","1","2","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-15-1-2.jpg","JHON ARIAS 21-9-1997 1 1 66kg WOLVERHAMPTON WANDERERS FC (ENG)","COL 10"
"15","1","3","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-15-1-3.jpg","FIFA LUIS SUÁREZ SPORTING CPIPOR)","COL 11"
"15","2","0","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-15-2-0.jpg","FIFA JORGE CARRASCAL 25-5-1998 1 1 75 kg CLUBEDE REGATAS DO FLAMENGO",""
"15","2","1","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-15-2-1.jpg","FIFA RICHARD Ríos 2-5-2000 1 1.85m 1 77kg SL BENFICA (POR)","COL 7"
"15","2","2","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-15-2-2.jpg","FIFA JUAN FERNANDO QUINTERO 18-1-1993 | 1 67kg CLUB ATLÉTICO RIVERPLATE(ARG)","COL 8"
"15","2","3","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-15-2-3.jpg","FIFA JAMES RODRÍGUEZ 12-7-1991 1 18am 1 77 kg","ESP 5"
"15","3","0","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-15-3-0.jpg","KEVIN CASTAÑO 29-9-2008 | 1.77rn 1 70kg CLUB ATLÉTICO RIVER PLATE(ARG)",""
"15","3","1","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-15-3-1.jpg","JEFFERSON LERMA 25-10-1994 | 1,79 m | 75 kg CRVSTAL PALACE FC (ENG)","COL 6"
"15","3","2","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-15-3-2.jpg","FIFA SANTIAGO ARIAS 13-1-1992 1 1.78m 1 72kg",""
"15","3","3","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\grid-15-3-3.jpg","DANIEL MUÑOZ CRVSTAL PALACEFC (ENG)",""
"16","78","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-16_14.jpg","O LDCUP2026, KFA",""
"16","78","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-16_5.jpg","HYEONWOO JO 25-9-1991 1 1,89m 1 75 kg ULSAN HD FC (KOR)","KOR 1"
"16","78","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-16_12.jpg","VOUNGWOO SEOL 5-12-1998 1 1,83111 1 72kg CRVENA ZVEZDA (SRB)",""
"16","78","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-16_10.jpg","SEUNGGW KIM 30-9-1990 | 1,87 m 1 84 kg FC TOKYO (JPN) FIFA PAZIZI",""
"16","355","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-16_9.jpg","FIFA MVUNGJAE LEE 22-7-1993 1 1,83tn 1 75 kg ULSAN HYUNDAI (KOR)",""
"16","355","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-16_8.jpg","KANGIN LEE 19-2-2001 1 1 66kg PARIS SAINT-GERMAIN FC PAZIMI","KOR 7"
"16","355","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-16_7.jpg","FIFA JENS CASTROP 29-7-2003 | 1,79m 1 71kg BORUSSIA MONCHENGLADBACH (GER)","KOR 8"
"16","355","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-16_11.jpg","KOREA SEUNGHO PAIK 17-3-1997 1 182r-n 1 68kg BIRMINGHAM CITY FC (ENG)",""
"16","632","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-16_13.jpg","FIFA KOREA YUMIN CHO 17-11-1996 1 1,85111 79kg SHARJAH","KOR 3"
"16","632","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-16_6.jpg","JAESUNG LEE 10-8-1992 | | 70 kg 1. F-sv MAINZ 05 (GER)","KOR 5"
"16","632","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-16_4.jpg","XOREA HVEONGVU OH 2-2001 | 1,87111 | 87 kg KRC GENK (BEL)",""
"16","632","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-16_3.jpg","FIFA HEUNGMIN SON 8-7-1992 1 IP4m 1 78 kg LOS ANGELES FC (USA)","KOR 9"
"16","908","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-16_1.jpg","HANBEOM LEE 17-6-2002 1 1,90m 1 84 kg FC MIDTJVLLAND (DEN)",""
"16","908","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-16_2.jpg","HEECHAN HWANG 26-1-1996 1 1,77m 1 77kg WOLVERHAMPTON WANDERERS FC (ENG)","KOR 10"
"16","908","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-16_15.jpg","FIFA",""
"16","908","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-16_16.jpg","PANINI EXTRA STICKER FIFA JUDE BELLINGHAM","ENG 4"
"17","78","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-17_15.jpg","FIFA WORLD CU 2026, ÔTE D'IVOIRE",""
"17","78","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-17_12.jpg","VAN DIOMANDE RB LEIPZIG (GER)",""
"17","78","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-17_14.jpg","EMMANUEL AGBADOU 17-6-1997 1 L92m 1 86kg WOLVERHAMPTON WANDERERS FC (ENG)",""
"17","78","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-17_13.jpg","AMAD DIALLO 11-7-2002 1 1,73m 1 70kg MANCHESTERUNITEDFC(ENG)",""
"17","355","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-17_11.jpg","4 VAHIA FOFANA 21-8-2000 1 1,94m 1 89kg ÇAVKUR RIZESPOR (TUR)",""
"17","355","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-17_16.jpg","EVAN NDICKA 20-8-1999 1 1 80kg AS ROMA (ITAI","CIV 4"
"17","355","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-17_4.jpg","SEBASTIEN HALLER 22-6-,1994 | 1,90111 | 82kg FCUTRECHT(NED)",""
"17","355","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-17_6.jpg","FIFA SIMON ADINGRA 1-1-2002 1 1,75m 1 68 kg SUNDERLAND","CIV 10"
"17","631","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-17_5.jpg","SEKO FOFANA 7-5-1995 1 1 74kg","CIV 7"
"17","631","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-17_8.jpg","EVAN NDICKA 20-8-1999 1 80 kg AS ROMA","CIV 4"
"17","631","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-17_7.jpg","FIFA VAN DIOMANDE RB LEIPZIG (GER)",""
"17","631","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-17_10.jpg","FIFA WILLV BOLV 3-2-1991 | 1,95m 1 92 kg NOTTINGHAM FOREST (ENG)",""
"17","908","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-17_9.jpg","WILFRIED SINGO 25-12-2000 | 1,90m | 79 kg GALATASARAV A$(TUR)","CIV 3"
"17","908","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-17_2.jpg","ODILON KOSSOUNOU 4-1-2001 1 1,91 m | 79 kg ATALANTA BC (ITA)",""
"17","908","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-17_3.jpg","FIFA OUSMANE DIOMANDE 4-12-2003 | 1,88m 1 96kg SPORTING cp (POR)",""
"17","908","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-17_1.jpg","GHISLAIN KONAN 27-12-1995 1 1,76 m I n kg GIL VICENTE FC (POR)","CIV 2"
"18","58","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-18_12.jpg","MARIO PASALIC 9-2-1995 1 188m 1 82 kg ATALANTA BC","CRO 9"
"18","58","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-18_6.jpg","FIFA JOSKO GVARDIOL 231-2002 1 185m 1 8Ckg MANCHESTER CITY FC (ENG)","CRO 3"
"18","58","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-18_8.jpg","FIFA LOVRO MAJER 17-1-1998 1 1,78m 1 75kg VFL WOLFSBURG (GER)","CRO 8"
"18","58","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-18_11.jpg","FIFA LUKA MODRIC 9-9-1985 1 1,73m 1 65 kg AC MILAN (ITA)","CRO 6"
"18","334","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-18_3.jpg","DUJE CALETA-CAR 17-9-1996 1 1,93tn 1 89 kg REAL SOCIEDAD DE FÚTBOL (ESP)",""
"18","334","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-18_2.jpg","n ANTE BUDIMIR 22-7-1991 1 1,90m 1 75kg CAOSASUNA(ESP)","CRO 10"
"18","334","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-18_10.jpg","MARTIN BATURINA 16-2-2003 1 1,72 m 1 73 kg COMO 1907 (ITA)",""
"18","334","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-18_9.jpg","LUKA VUSKOVIC 24-2-2007 1 1,93111 1 86 kg HAMBURGER SV (GER)",""
"18","611","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-18_1.jpg","ANDREU KRAMARIC 19-6-1991 1 1 73kg 1899 HOFFENHEIM (GER)",""
"18","611","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-18_4.jpg","n FIFA FRANJO IVANOVIC 1-10-2003 1,85111 77kg SL BENFICA (POR)",""
"18","611","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-18_5.jpg","FIFA IVAN PERISlé 2-2-1989 1 186m 1",""
"18","611","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-18_7.jpg","n KRISTIJAN JAKIC 14-5-1997 1 L81m 1 75kg FC AUGSBURG (GER)",""
"18","887","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-18_13.jpg","JORDAN AVEW 11-9-1991 1 1,82 m 1 80 kg LEICESTER FC(ENG)",""
"18","887","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-18_14.jpg","FIFA SAETA FRANTZDY PIERROT 29-3-1995 1 1 87kg AEK ATHENS FC (GRE)","HAI 11"
"18","887","446","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-18_15.jpg","FIFA EZRI KONSA 23-10-1997 1 L83m 1 77 kg PANINI",""
"18","887","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-18_16.jpg","FIFA ,111 JAKO JALAL HASSAN 18-5-1991 1 L84m 1 79kg AL-ZAWRAA SC (IRO)",""
